word,meaning,level,part_of_speech,example
(adj.) noisy,(形) うるさい,A1,adj,The classroom is noisy.
(adj.) perfect,(形) 完璧な,A1,adj,Your answer is perfect.
(adj.) poor,(形) 貧しい,A1,adj,The family is very poor.
(adj.) pretty,(形) かわいい・きれいな,A1,adj,She is a pretty girl.
(adj.) quiet,(形) 静かな,A1,adj,Please be quiet.
(adj.) red,(形) 赤い,A1,adj,She wears a red dress.
(adj.) rich,(形) 裕福な,A1,adj,He is a rich man.
(adj.) right,(形) 正しい,A1,adj,That is the right answer.
(adj.) sad,(形) 悲しい,A1,adj,She looks sad today.
(adj.) safe,(形) 安全な,A1,adj,This road is safe for children.
(adj.) same,(形) 同じ,A1,adj,We go to the same school.
(adj.) sick,(形) 病気の,A1,adj,I stayed home because I was sick.
(adj.) small,(形) 小さい,A1,adj,My room is small.
(adj.) soft,(形) 柔らかい,A1,adj,The bed is very soft.
(adj.) sorry,(形) 申し訳ない,A1,adj,I'm sorry for being late.
(adj.) sweet,(形) 甘い,A1,adj,This cake is very sweet.
(adj.) thin,(形) 薄い・細い,A1,adj,She is thin and tall.
(adj.) warm,(形) 暖かい,A1,adj,It is warm in spring.
(adj.) wet,(形) 濡れた,A1,adj,My clothes are wet.
(adj.) white,(形) 白い,A1,adj,She wears a white dress.
(adj.) wonderful,(形) 素晴らしい,A1,adj,We had a wonderful time.
(adj.) wrong,(形) 間違っている,A1,adj,That answer is wrong.
(adj.) yellow,(形) 黄色の,A1,adj,The sun is bright yellow.
(adv.) ago,(副) 〜前に,A1,adv,I met her two days ago.
(adv.) carefully,(副) 注意深く,A1,adv,Listen carefully.
(adv.) early,(副) 早く,A1,adv,I wake up early every day.
(adv.) even,(副) 〜さえ,A1,adv,Even I can do this.
(adv.) finally,(副) ついに,A1,adv,She finally passed the exam.
(adv.) hardly,(副) ほとんど〜ない,A1,adv,I can hardly see it.
(adv.) late,(副) 遅く,A1,adv,He came home late last night.
(adv.) nearly,(副) ほぼ,A1,adv,I nearly fell asleep.
(adv.) quickly,(副) 素早く,A1,adv,She ran quickly.
(adv.) quite,(副) かなり,A1,adv,This test is quite difficult.
(adv.) suddenly,(副) 突然,A1,adv,It suddenly started to rain.
(adv.) usually,(副) 普通は,A1,adv,I usually go to bed at ten.
(adv.) well,(副) 上手に,A1,adv,She speaks English well.
(adv.) yesterday,(副) 昨日,A1,adv,I studied hard yesterday.
(phr.) excuse me,(句) すみません,A1,phrase,Excuse me where is the station?
(phr.) good morning,(句) おはようございます,A1,phrase,Good morning! How are you?
(phr.) good night,(句) おやすみなさい,A1,phrase,Good night! Sleep well.
(phr.) how are you,(句) 元気ですか,A1,phrase,How are you today?
(phr.) nice to meet you,(句) はじめまして,A1,phrase,Nice to meet you!
(phr.) see you,(句) またね,A1,phrase,See you tomorrow!
(phr.) thank you,(句) ありがとう,A1,phrase,Thank you for your help.
(phr.) come back,(句) 戻る,A1,phrase,She came back home at five.
(phr.) get up,(句) 起き上がる,A1,phrase,I get up early every morning.
(phr.) go to bed,(句) 寝る,A1,phrase,I go to bed at ten.
(phr.) look at,(句) 〜を見る,A1,phrase,Look at the blackboard.
(phr.) wake up,(句) 起きる,A1,phrase,I wake up at six every day.
(n.) ability,(名) 能力,A2,noun,She has a great ability for languages.
(n.) accident,(名) 事故,A2,noun,There was an accident on the road.
(n.) address,(名) 住所,A2,noun,Write your address on the form.
(n.) amount,(名) 量,A2,noun,What amount would you like?
(n.) area,(名) 地域,A2,noun,This is a quiet area.
(n.) activity,(名) 活動,A2,noun,Physical activity is good for health.
(n.) beach,(名) 浜辺,A2,noun,We spent the day at the beach.
(n.) bridge,(名) 橋,A2,noun,We crossed the bridge.
(n.) building,(名) 建物,A2,noun,That is a tall building.
(n.) business,(名) ビジネス,A2,noun,He runs his own business.
(n.) capital,(名) 首都,A2,noun,Tokyo is the capital of Japan.
(n.) career,(名) キャリア,A2,noun,She has a successful career.
(n.) cause,(名) 原因,A2,noun,What is the cause of this problem?
(n.) center,(名) 中心,A2,noun,The shopping center is busy.
(n.) chance,(名) 機会,A2,noun,This is a great chance.
(n.) character,(名) 性格,A2,noun,She has a kind character.
(n.) choice,(名) 選択,A2,noun,It was a difficult choice.
(n.) church,(名) 教会,A2,noun,We visited the church.
(n.) climate,(名) 気候,A2,noun,Japan has a varied climate.
(n.) club,(名) クラブ,A2,noun,She joined the tennis club.
(n.) coast,(名) 海岸,A2,noun,We drove along the coast.
(n.) company,(名) 会社,A2,noun,She works for a big company.
(n.) condition,(名) 状態,A2,noun,The weather condition is bad.
(n.) connection,(名) つながり,A2,noun,There is a good connection between them.
(n.) contact,(名) 連絡,A2,noun,Stay in contact with your family.
(n.) control,(名) 制御,A2,noun,She is in control of the class.
(n.) cost,(名) 費用,A2,noun,The cost of living is high.
(n.) culture,(名) 文化,A2,noun,I am interested in Japanese culture.
(n.) damage,(名) 損害,A2,noun,The storm caused a lot of damage.
(n.) danger,(名) 危険,A2,noun,They were in great danger.
(n.) data,(名) データ,A2,noun,We need more data.
(n.) decision,(名) 決断,A2,noun,She made a difficult decision.
(n.) description,(名) 説明,A2,noun,Write a description of the picture.
(n.) difference,(名) 違い,A2,noun,What is the difference between these two?
(n.) direction,(名) 方向,A2,noun,Can you give me directions?
(n.) education,(名) 教育,A2,noun,Education is very important.
(n.) effect,(名) 効果,A2,noun,This medicine has a good effect.
(n.) effort,(名) 努力,A2,noun,She put a lot of effort into it.
(n.) energy,(名) エネルギー,A2,noun,We need to save energy.
(n.) environment,(名) 環境,A2,noun,We must protect the environment.
(n.) equipment,(名) 装備,A2,noun,The sports equipment is new.
(n.) event,(名) 行事,A2,noun,This is a special event.
(n.) example,(名) 例,A2,noun,Give me an example.
(n.) exercise,(名) 運動,A2,noun,Regular exercise is important.
(n.) experience,(名) 経験,A2,noun,She has a lot of experience.
(n.) fact,(名) 事実,A2,noun,That is an interesting fact.
(n.) festival,(名) 祭り,A2,noun,We went to a music festival.
(n.) film,(名) 映画,A2,noun,Have you seen this film?
(n.) forest,(名) 森,A2,noun,We walked through the forest.
(n.) form,(名) フォーム,A2,noun,Please fill in this form.
(n.) goal,(名) 目標,A2,noun,What is your goal in life?
(n.) government,(名) 政府,A2,noun,The government made a new law.
(n.) group,(名) グループ,A2,noun,We work in groups.
(n.) growth,(名) 成長,A2,noun,The growth of the city is fast.
(n.) health,(名) 健康,A2,noun,Your health is very important.
(n.) heat,(名) 熱,A2,noun,The heat in summer is intense.
(n.) history,(名) 歴史,A2,noun,I love learning history.
(n.) holiday,(名) 休暇,A2,noun,We went to Italy on holiday.
(n.) idea,(名) アイデア,A2,noun,That's a good idea.
(n.) image,(名) 映像・イメージ,A2,noun,She has a good image.
(n.) income,(名) 収入,A2,noun,Her income is quite low.
(n.) industry,(名) 産業,A2,noun,The tourism industry is growing.
(n.) information,(名) 情報,A2,noun,I need more information.
(n.) island,(名) 島,A2,noun,Japan is an island country.
(n.) item,(名) 品物,A2,noun,Check each item on the list.
(n.) journey,(名) 旅,A2,noun,The journey took three hours.
(n.) knowledge,(名) 知識,A2,noun,She has a lot of knowledge.
(n.) language,(名) 言語,A2,noun,She speaks three languages.
(n.) law,(名) 法律,A2,noun,We must follow the law.
(n.) leader,(名) リーダー,A2,noun,She is a good leader.
(n.) level,(名) レベル,A2,noun,My English level is improving.
(n.) location,(名) 場所・位置,A2,noun,This is a great location.
(n.) machine,(名) 機械,A2,noun,This machine needs repair.
(n.) magazine,(名) 雑誌,A2,noun,I read a fashion magazine.
(n.) material,(名) 素材,A2,noun,What material is this bag made of?
(n.) meaning,(名) 意味,A2,noun,What is the meaning of this word?
(n.) member,(名) メンバー,A2,noun,She is a member of the club.
(n.) memory,(名) 記憶,A2,noun,I have good memories of school.
(n.) message,(名) メッセージ,A2,noun,Please leave a message.
(n.) method,(名) 方法,A2,noun,She has a new method of teaching.
(n.) mind,(名) 心・精神,A2,noun,Keep an open mind.
(n.) mistake,(名) 間違い,A2,noun,I made a mistake.
(n.) nature,(名) 自然,A2,noun,I love being in nature.
(n.) neighbor,(名) 近所の人,A2,noun,My neighbor is very friendly.
(n.) note,(名) メモ,A2,noun,Take notes during the lecture.
(n.) object,(名) 物,A2,noun,What is this object?
(n.) offer,(名) 申し出,A2,noun,Thank you for the offer.
(n.) opinion,(名) 意見,A2,noun,What is your opinion?
(n.) opportunity,(名) 機会,A2,noun,This is a great opportunity.
(n.) option,(名) 選択肢,A2,noun,You have two options.
(n.) order,(名) 注文,A2,noun,May I take your order?
(n.) part,(名) 部分,A2,noun,This is the best part of the movie.
(n.) piece,(名) 一片,A2,noun,Would you like a piece of cake?
(n.) planet,(名) 惑星,A2,noun,Earth is a planet.
(n.) pollution,(名) 汚染,A2,noun,Air pollution is a big problem.
(n.) population,(名) 人口,A2,noun,The population of Tokyo is huge.
(n.) position,(名) 位置,A2,noun,She is in a high position.
(n.) power,(名) 力,A2,noun,She has the power to change things.
(n.) price,(名) 値段,A2,noun,The price is too high.
(n.) problem,(名) 問題,A2,noun,This is a big problem.
(n.) product,(名) 製品,A2,noun,This product is very popular.
(n.) program,(名) プログラム,A2,noun,I watch a TV program.
(n.) project,(名) プロジェクト,A2,noun,We finished the school project.
(n.) quality,(名) 品質,A2,noun,This product has good quality.
(n.) reason,(名) 理由,A2,noun,What is the reason for this?
(n.) record,(名) 記録,A2,noun,She broke the world record.
(n.) relationship,(名) 関係,A2,noun,They have a good relationship.
(n.) report,(名) レポート,A2,noun,I wrote a report on the environment.
(n.) research,(名) 研究,A2,noun,She did research on climate change.
(n.) response,(名) 返答,A2,noun,She got a quick response.
(n.) result,(名) 結果,A2,noun,What was the result?
(n.) review,(名) 復習,A2,noun,Let's do a review of chapter one.
(n.) risk,(名) リスク,A2,noun,There is a risk of injury.
(n.) role,(名) 役割,A2,noun,She plays an important role.
(n.) rule,(名) ルール,A2,noun,Follow the rules.
(n.) safety,(名) 安全,A2,noun,Safety is our first priority.
(n.) science,(名) 科学,A2,noun,Science is my favorite subject.
(n.) season,(名) 季節,A2,noun,My favorite season is spring.
(n.) service,(名) サービス,A2,noun,The service at this hotel is excellent.
(n.) situation,(名) 状況,A2,noun,It is a difficult situation.
(n.) size,(名) サイズ,A2,noun,What size is this shirt?
(n.) skill,(名) スキル,A2,noun,She has excellent writing skills.
(n.) society,(名) 社会,A2,noun,We all live in society.
(n.) solution,(名) 解決策,A2,noun,What is the solution to this problem?
(n.) space,(名) 宇宙・空間,A2,noun,There is no space in this room.
(n.) speed,(名) スピード,A2,noun,The car was going at a high speed.
(n.) step,(名) 段階,A2,noun,Take one step at a time.
(n.) style,(名) スタイル,A2,noun,She has a great sense of style.
(n.) support,(名) 支援,A2,noun,Thank you for your support.
(n.) system,(名) システム,A2,noun,The new system works well.
(n.) task,(名) 課題,A2,noun,Complete this task by tomorrow.
(n.) technology,(名) 技術,A2,noun,Technology is changing our lives.
(n.) temperature,(名) 温度,A2,noun,The temperature is very low today.
(n.) topic,(名) 話題,A2,noun,What is the topic of today's class?
(n.) total,(名) 合計,A2,noun,The total is five thousand yen.
(n.) tradition,(名) 伝統,A2,noun,We follow old traditions.
(n.) transport,(名) 交通機関,A2,noun,What transport do you use?
(n.) type,(名) 種類,A2,noun,What type of music do you like?
(n.) university,(名) 大学,A2,noun,She studies at the university.
(n.) value,(名) 価値,A2,noun,Family has great value for her.
(n.) variety,(名) 多様性,A2,noun,This shop has a great variety of products.
(n.) view,(名) 眺め,A2,noun,The view from the top is amazing.
(n.) website,(名) ウェブサイト,A2,noun,Please check our website.
(n.) wind,(名) 風,A2,noun,There is a strong wind today.
(v.) accept,(動) 受け入れる,A2,verb,She accepted the invitation.
(v.) achieve,(動) 達成する,A2,verb,She achieved her goal.
(v.) act,(動) 行動する,A2,verb,He acted in a school play.
(v.) add,(動) 加える,A2,verb,Add some salt to the soup.
(v.) agree,(動) 同意する,A2,verb,I agree with you.
(v.) allow,(動) 許可する,A2,verb,Phones are not allowed in class.
(v.) appear,(動) 現れる,A2,verb,A star appeared in the sky.
(v.) apply,(動) 応募する,A2,verb,She applied for the job.
(v.) argue,(動) 議論する,A2,verb,They argued about the plan.
(v.) avoid,(動) 避ける,A2,verb,Avoid eating too much sugar.
(v.) become,(動) 〜になる,A2,verb,She became a teacher.
(v.) begin,(動) 始める,A2,verb,Class begins at eight.
(v.) believe,(動) 信じる,A2,verb,I believe in you.
(v.) break,(動) 壊す,A2,verb,Don't break the rules.
(v.) build,(動) 建てる,A2,verb,They built a new school.
(v.) change,(動) 変える,A2,verb,She changed her clothes.
(v.) check,(動) 確認する,A2,verb,Check your answers.
(v.) choose,(動) 選ぶ,A2,verb,She chose a blue dress.
(v.) complete,(動) 完成させる,A2,verb,Complete the sentence.
(v.) continue,(動) 続ける,A2,verb,Continue reading please.
(v.) create,(動) 作る・創造する,A2,verb,She created a beautiful drawing.
(v.) decide,(動) 決める,A2,verb,She decided to study abroad.
(v.) describe,(動) 描写する,A2,verb,Describe the picture.
(v.) develop,(動) 発展する,A2,verb,The town has developed quickly.
(v.) die,(動) 死ぬ,A2,verb,Many animals are dying.
(v.) discuss,(動) 話し合う,A2,verb,We discussed the problem.
(v.) encourage,(動) 励ます,A2,verb,She encouraged her students.
(v.) enter,(動) 入る,A2,verb,Please enter the room quietly.
(v.) explain,(動) 説明する,A2,verb,Please explain the rule.
(v.) fail,(動) 失敗する,A2,verb,She failed the test.
(v.) fall,(動) 落ちる,A2,verb,The leaves fall in autumn.
(v.) follow,(動) 従う,A2,verb,Follow the instructions.
(v.) hurt,(動) 痛む,A2,verb,My leg hurts.
(v.) imagine,(動) 想像する,A2,verb,Imagine a beautiful beach.
(v.) improve,(動) 改善する,A2,verb,I want to improve my English.
(v.) include,(動) 含む,A2,verb,The price includes tax.
(v.) increase,(動) 増加する,A2,verb,The number of students is increasing.
(v.) introduce,(動) 紹介する,A2,verb,Let me introduce myself.
(v.) invite,(動) 招待する,A2,verb,She invited me to her party.
(v.) join,(動) 参加する,A2,verb,Join the club if you want.
(v.) lose,(動) 失う,A2,verb,She lost her wallet.
(v.) manage,(動) 管理する,A2,verb,She managed to finish on time.
(v.) offer,(動) 申し出る,A2,verb,He offered to help me.
(v.) pass,(動) 合格する,A2,verb,She passed the exam.
(v.) pay,(動) 払う,A2,verb,I paid for the meal.
(v.) plan,(動) 計画する,A2,verb,We planned our trip.
(v.) prepare,(動) 準備する,A2,verb,Prepare for the test.
(v.) prevent,(動) 防ぐ,A2,verb,We need to prevent pollution.
(v.) produce,(動) 生産する,A2,verb,This factory produces cars.
(v.) reach,(動) 到達する,A2,verb,She reached the top of the mountain.
(v.) realize,(動) 気づく,A2,verb,I realized my mistake.
(v.) refuse,(動) 断る,A2,verb,She refused to answer.
(v.) represent,(動) 代表する,A2,verb,She represented her school.
(v.) rest,(動) 休む,A2,verb,You need to rest.
(v.) seem,(動) 〜のように見える,A2,verb,She seems happy today.
(v.) solve,(動) 解く,A2,verb,She solved the math problem.
(v.) spend,(動) 過ごす,A2,verb,I spend time with my family.
(v.) suggest,(動) 提案する,A2,verb,She suggested a new idea.
(v.) support,(動) 支援する,A2,verb,Thank you for supporting me.
(v.) understand,(動) 理解する,A2,verb,Do you understand this?
(v.) worry,(動) 心配する,A2,verb,Don't worry about it.
(adj.) amazing,(形) 素晴らしい,A2,adj,The view was amazing.
(adj.) anxious,(形) 不安な,A2,adj,She feels anxious about the test.
(adj.) appropriate,(形) 適切な,A2,adj,That is an appropriate answer.
(adj.) available,(形) 利用できる,A2,adj,Is this seat available?
(adj.) aware,(形) 気づいている,A2,adj,Are you aware of this problem?
(adj.) basic,(形) 基本的な,A2,adj,She has basic English skills.
(adj.) calm,(形) 穏やかな,A2,adj,Stay calm and try again.
(adj.) clever,(形) 賢い,A2,adj,She is a clever girl.
(adj.) comfortable,(形) 快適な,A2,adj,This sofa is very comfortable.
(adj.) common,(形) 一般的な,A2,adj,This is a very common word.
(adj.) confident,(形) 自信のある,A2,adj,She is confident in her abilities.
(adj.) confused,(形) 混乱した,A2,adj,I am confused about this topic.
(adj.) dangerous,(形) 危険な,A2,adj,This road is dangerous.
(adj.) deep,(形) 深い,A2,adj,The lake is very deep.
(adj.) delicious,(形) おいしい,A2,adj,This food is delicious.
(adj.) difficult,(形) 難しい,A2,adj,This math problem is difficult.
(adj.) dirty,(形) 汚い,A2,adj,Your hands are dirty.
(adj.) enough,(形) 十分な,A2,adj,Do you have enough time?
(adj.) excellent,(形) 優れた,A2,adj,Her score was excellent.
(adj.) exciting,(形) 興奮させる,A2,adj,The game was exciting.
(adj.) famous,(形) 有名な,A2,adj,She is a famous singer.
(adj.) favorite,(形) お気に入りの,A2,adj,What is your favorite food?
(adj.) final,(形) 最後の,A2,adj,This is the final exam.
(adj.) foreign,(形) 外国の,A2,adj,She speaks a foreign language.
(adj.) friendly,(形) 親しみやすい,A2,adj,He is a friendly person.
(adj.) important,(形) 重要な,A2,adj,This is an important lesson.
(adj.) impossible,(形) 不可能な,A2,adj,Nothing is impossible.
(adj.) interesting,(形) 興味深い,A2,adj,She told an interesting story.
(adj.) international,(形) 国際的な,A2,adj,She speaks at international events.
(adj.) main,(形) 主な,A2,adj,What is the main point?
(adj.) modern,(形) 現代の,A2,adj,They live in a modern house.
(adj.) necessary,(形) 必要な,A2,adj,Is it necessary to bring a notebook?
(adj.) negative,(形) 否定的な,A2,adj,Try not to be negative.
(adj.) normal,(形) 普通の,A2,adj,This is normal behavior.
(adj.) official,(形) 公式の,A2,adj,This is the official website.
(adj.) original,(形) 独創的な,A2,adj,This is an original idea.
(adj.) personal,(形) 個人的な,A2,adj,This is a personal opinion.
(adj.) physical,(形) 身体的な,A2,adj,Physical exercise is important.
(adj.) positive,(形) 前向きな,A2,adj,Stay positive.
(adj.) possible,(形) 可能な,A2,adj,Is it possible to change the plan?
(adj.) powerful,(形) 強力な,A2,adj,She has a powerful voice.
(adj.) previous,(形) 以前の,A2,adj,Please review the previous lesson.
(adj.) private,(形) プライベートな,A2,adj,This is a private matter.
(adj.) proud,(形) 誇りに思う,A2,adj,I am proud of you.
(adj.) public,(形) 公共の,A2,adj,This is a public area.
(adj.) recent,(形) 最近の,A2,adj,This is a recent photo.
(adj.) regular,(形) 定期的な,A2,adj,Regular exercise is important.
(adj.) responsible,(形) 責任のある,A2,adj,She is a responsible person.
(adj.) serious,(形) 深刻な,A2,adj,This is a serious problem.
(adj.) similar,(形) 似ている,A2,adj,Our opinions are similar.
(adj.) special,(形) 特別な,A2,adj,Today is a special day.
(adj.) successful,(形) 成功した,A2,adj,She is a successful businesswoman.
(adj.) typical,(形) 典型的な,A2,adj,This is a typical mistake.
(adj.) useful,(形) 役立つ,A2,adj,This dictionary is very useful.
(adv.) almost,(副) ほとんど,A2,adv,I almost missed the train.
(adv.) anyway,(副) どちらにしても,A2,adv,Anyway let's start.
(adv.) badly,(副) ひどく,A2,adv,She was badly hurt.
(adv.) completely,(副) 完全に,A2,adv,I completely forgot.
(adv.) definitely,(副) 確かに,A2,adv,I will definitely come.
(adv.) easily,(副) 簡単に,A2,adv,She passed the test easily.
(adv.) especially,(副) 特に,A2,adv,I especially like science.
(adv.) eventually,(副) 最終的に,A2,adv,She eventually found the key.
(adv.) exactly,(副) 正確に,A2,adv,That is exactly right.
(adv.) fortunately,(副) 幸いなことに,A2,adv,Fortunately nobody was hurt.
(adv.) generally,(副) 一般的に,A2,adv,Generally I agree with you.
(adv.) however,(副) しかし,A2,adv,I studied hard. However I failed.
(adv.) immediately,(副) すぐに,A2,adv,Come here immediately.
(adv.) instead,(副) その代わりに,A2,adv,I'll have tea instead.
(adv.) mainly,(副) 主に,A2,adv,She mainly studies English.
(adv.) probably,(副) たぶん,A2,adv,She will probably come.
(adv.) recently,(副) 最近,A2,adv,I recently moved to Tokyo.
(adv.) truly,(副) 本当に,A2,adv,I truly appreciate your help.
(phr.) as well as,(句) 〜だけでなく,A2,phrase,She is kind as well as clever.
(phr.) at least,(句) 少なくとも,A2,phrase,Read at least ten pages a day.
(phr.) by the way,(句) ところで,A2,phrase,By the way how is your sister?
(phr.) do one's best,(句) 最善を尽くす,A2,phrase,Always do your best.
(phr.) find out,(句) 調べる,A2,phrase,I found out the answer.
(phr.) get along with,(句) 〜と仲良くやっていく,A2,phrase,She gets along with everyone.
(phr.) give up,(句) あきらめる,A2,phrase,Never give up.
(phr.) hang out,(句) 一緒に遊ぶ,A2,phrase,We hung out at the mall.
(phr.) have a good time,(句) 楽しい時を過ごす,A2,phrase,Did you have a good time?
(phr.) in front of,(句) 〜の前に,A2,phrase,Stand in front of the class.
(phr.) look for,(句) 〜を探す,A2,phrase,I am looking for my key.
(phr.) look like,(句) 〜のように見える,A2,phrase,You look like your mother.
(phr.) make sure,(句) 必ず確認する,A2,phrase,Make sure to lock the door.
(phr.) on time,(句) 時間通りに,A2,phrase,Please arrive on time.
(phr.) run out of,(句) 〜がなくなる,A2,phrase,We ran out of time.
(phr.) take care of,(句) 〜の世話をする,A2,phrase,Take care of your health.
(phr.) used to,(句) かつて〜していた,A2,phrase,I used to play tennis.
(prep.) according to,(前) 〜によると,A2,prep,According to the news it will rain.
(prep.) because of,(前) 〜のために,A2,prep,The class was canceled because of rain.
(prep.) due to,(前) 〜のために,A2,prep,The delay was due to traffic.
(prep.) instead of,(前) 〜の代わりに,A2,prep,I drank water instead of juice.
(prep.) in addition to,(前) 〜に加えて,A2,prep,In addition to English she studies French.
(n.) achievement,(名) 達成・業績,B1,noun,This award is a great achievement.
(n.) analysis,(名) 分析,B1,noun,We did an analysis of the data.
(n.) approach,(名) アプローチ・方法,B1,noun,She used a new approach to teaching.
(n.) argument,(名) 議論,B1,noun,They had an argument about money.
(n.) aspect,(名) 側面,B1,noun,Consider every aspect of the problem.
(n.) atmosphere,(名) 雰囲気・大気,B1,noun,The atmosphere in the room was tense.
(n.) attitude,(名) 態度,B1,noun,She has a positive attitude.
(n.) audience,(名) 観客,B1,noun,The audience clapped loudly.
(n.) authority,(名) 権威・当局,B1,noun,The authorities closed the road.
(n.) awareness,(名) 意識,B1,noun,Public awareness of this issue is growing.
(n.) background,(名) 背景,B1,noun,She has a strong academic background.
(n.) barrier,(名) 障壁,B1,noun,Language can be a barrier.
(n.) behavior,(名) 行動,B1,noun,His behavior in class was excellent.
(n.) benefit,(名) 利点,B1,noun,Exercise has many health benefits.
(n.) campaign,(名) キャンペーン,B1,noun,They ran an awareness campaign.
(n.) category,(名) カテゴリー,B1,noun,Which category does this belong to?
(n.) challenge,(名) 挑戦,B1,noun,Learning a new language is a challenge.
(n.) commitment,(名) 責任・約束,B1,noun,She showed great commitment.
(n.) communication,(名) コミュニケーション,B1,noun,Good communication is very important.
(n.) community,(名) コミュニティ,B1,noun,She works for the local community.
(n.) competition,(名) 競争,B1,noun,She entered the competition.
(n.) concept,(名) 概念,B1,noun,I don't understand this concept.
(n.) confidence,(名) 自信,B1,noun,She speaks with confidence.
(n.) conflict,(名) 対立,B1,noun,There was a conflict between the two groups.
(n.) consequence,(名) 結果,B1,noun,Think about the consequences of your actions.
(n.) contribution,(名) 貢献,B1,noun,She made a great contribution.
(n.) creativity,(名) 創造性,B1,noun,Art requires creativity.
(n.) crisis,(名) 危機,B1,noun,The country faced an economic crisis.
(n.) criticism,(名) 批判,B1,noun,She took the criticism well.
(n.) debate,(名) 討論,B1,noun,We had a debate on the environment.
(n.) demand,(名) 需要,B1,noun,The demand for oil is increasing.
(n.) democracy,(名) 民主主義,B1,noun,Democracy gives people the right to vote.
(n.) device,(名) 機器,B1,noun,This is a new electronic device.
(n.) diet,(名) 食事・ダイエット,B1,noun,A healthy diet keeps you strong.
(n.) discovery,(名) 発見,B1,noun,The discovery changed science.
(n.) discrimination,(名) 差別,B1,noun,Discrimination is a serious problem.
(n.) diversity,(名) 多様性,B1,noun,Diversity makes our society richer.
(n.) document,(名) 書類,B1,noun,Please sign this document.
(n.) economy,(名) 経済,B1,noun,The economy is growing fast.
(n.) emotion,(名) 感情,B1,noun,She expressed her emotions clearly.
(n.) emphasis,(名) 強調,B1,noun,She placed emphasis on reading.
(n.) evidence,(名) 証拠,B1,noun,There is no evidence for this claim.
(n.) evolution,(名) 進化,B1,noun,Darwin studied the evolution of species.
(n.) expression,(名) 表現,B1,noun,The expression on her face was calm.
(n.) failure,(名) 失敗,B1,noun,Failure is a chance to learn.
(n.) foundation,(名) 基盤,B1,noun,A good education is the foundation of success.
(n.) freedom,(名) 自由,B1,noun,Freedom of speech is important.
(n.) function,(名) 機能,B1,noun,What is the function of this button?
(n.) generation,(名) 世代,B1,noun,The younger generation uses smartphones.
(n.) impact,(名) 影響,B1,noun,Technology has a huge impact on society.
(n.) independence,(名) 独立,B1,noun,She values her independence.
(n.) influence,(名) 影響,B1,noun,Parents have a big influence on children.
(n.) innovation,(名) 革新,B1,noun,Innovation drives economic growth.
(n.) institution,(名) 機関・制度,B1,noun,She works for a public institution.
(n.) interaction,(名) 相互作用,B1,noun,Good interaction between students is key.
(n.) investment,(名) 投資,B1,noun,Education is a good investment.
(n.) justice,(名) 正義,B1,noun,We must fight for justice.
(n.) limitation,(名) 制限,B1,noun,There are limitations to this approach.
(n.) motivation,(名) 動機,B1,noun,She has a lot of motivation to study.
(n.) network,(名) ネットワーク,B1,noun,She has a wide professional network.
(n.) objective,(名) 目標,B1,noun,The main objective is to improve test scores.
(n.) observation,(名) 観察,B1,noun,She made careful observations.
(n.) participation,(名) 参加,B1,noun,Participation in class is important.
(n.) perspective,(名) 視点,B1,noun,Try to see things from a different perspective.
(n.) phenomenon,(名) 現象,B1,noun,Climate change is a global phenomenon.
(n.) priority,(名) 優先事項,B1,noun,Education is the government's top priority.
(n.) process,(名) プロセス,B1,noun,Learning is a long process.
(n.) profession,(名) 職業,B1,noun,Teaching is a noble profession.
(n.) proposal,(名) 提案,B1,noun,She made an interesting proposal.
(n.) reaction,(名) 反応,B1,noun,Her reaction was surprising.
(n.) recognition,(名) 認識,B1,noun,She received recognition for her work.
(n.) reform,(名) 改革,B1,noun,The government introduced new reforms.
(n.) region,(名) 地域,B1,noun,This region is famous for its food.
(n.) regulation,(名) 規制,B1,noun,The new regulation took effect today.
(n.) responsibility,(名) 責任,B1,noun,She takes her responsibilities seriously.
(n.) revenue,(名) 収益,B1,noun,The company's revenue increased.
(n.) sector,(名) 部門,B1,noun,She works in the public sector.
(n.) strategy,(名) 戦略,B1,noun,We need a better strategy.
(n.) structure,(名) 構造,B1,noun,The structure of this sentence is correct.
(n.) sustainability,(名) 持続可能性,B1,noun,Sustainability is key to the future.
(n.) trend,(名) トレンド,B1,noun,Following trends is not always wise.
(n.) welfare,(名) 福祉,B1,noun,The government cares about public welfare.
(v.) address,(動) 取り組む,B1,verb,We need to address this problem.
(v.) assess,(動) 評価する,B1,verb,The teacher assessed the students' work.
(v.) benefit,(動) 恩恵を受ける,B1,verb,Students benefit from regular feedback.
(v.) challenge,(動) 挑戦する,B1,verb,She challenged the decision.
(v.) communicate,(動) 伝達する,B1,verb,It is important to communicate clearly.
(v.) concentrate,(動) 集中する,B1,verb,I need to concentrate on my work.
(v.) conclude,(動) 結論づける,B1,verb,She concluded that the plan was good.
(v.) confirm,(動) 確認する,B1,verb,Please confirm your reservation.
(v.) consider,(動) 考慮する,B1,verb,Consider all the options carefully.
(v.) contribute,(動) 貢献する,B1,verb,She contributed a lot to the project.
(v.) convince,(動) 説得する,B1,verb,He convinced her to change her mind.
(v.) decrease,(動) 減少する,B1,verb,The number of students has decreased.
(v.) demonstrate,(動) 示す,B1,verb,She demonstrated the technique.
(v.) depend,(動) 依存する,B1,verb,Results depend on your effort.
(v.) detect,(動) 発見する,B1,verb,Scientists detected a new virus.
